,GISPROPNUM,BOROUGH,ACRES,SIGNNAME,TYPECATEGO,handball,tennis,basketball,adult_soft,track_and,play_area_count,preserve_count,spray_count,OBJECTID,TPL_P_NAME,FREQUENCY,SUM_SVCAREA,SUM_TOTPOPSVCA,SUM_KIDSVCA,SUM_YOUNGPROSVCA,SUM_SENIORSVCA,SUM_HHILOWSVCA,SUM_HHIMEDSVCA,SUM_HHIHIGHSVCA,SUM_TOTHHSVCA,SUM_WHITE_SVC,SUM_BLACK_SVC,SUM_AMERINDSVC,SUM_ASIAN_SVC,SUM_PACIFICSVC,SUM_OTHRACESVC,SUM_RACE2UPSVC,SUM_HISP_SVC
264,B324,B,2.984,Jacob Joffe Fields,Community Park,2.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,729,Jacob Joffe Fields,24,14095697.3371,17580,4253,10811,2515,1554,1633,2820,6009,5342,10293,35,768,11,532,594,1604
265,B325,B,1.035,Fish Playground,Jointly Operated Playground,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,457,Fish Playground,38,15274717.7622,32562,9571,19634,3354,5437,3630,2824,11892,2046,26527,245,358,10,2116,1260,5760
266,B326,B,0.585,Cobble Hill Park,Neighborhood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,Cobble Hill Park,43,12095145.5472,27224,4682,19473,3073,1632,2195,8865,12692,21373,1214,38,2490,10,844,1252,3041
267,B329,B,6.7,Lindower Park,Community Park,4.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,823,Lindower Park,13,12705295.8536,7703,1730,4403,1569,529,668,1639,2839,6850,331,3,309,0,115,93,389
268,B330,B,2.656,Hickman Playground,Jointly Operated Playground,2.0,0.0,5.0,1.0,0.0,5.0,0.0,1.0,631,Hickman Playground,24,16033973.4916,15128,3536,9071,2516,1124,1347,2907,5377,9737,3681,30,849,9,446,372,1335
269,B332,B,0.87,Evergreen Playground,Jointly Operated Playground,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,432,Evergreen Playground,44,13968675.5721,32292,9142,19832,3316,4890,3404,2675,10966,4942,18150,349,544,57,6569,1685,13578
270,B334,B,1.061,Fermi Playground,Jointly Operated Playground,2.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,447,Fermi Playground,42,14258008.9884,35315,9149,23558,2603,5170,3456,2565,11188,14291,3859,448,2103,50,12648,1918,24661
271,B335,B,1.416,Bildersee Playground,Jointly Operated Playground,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,135,Bildersee Playground,22,12732589.0144,20839,5105,13098,2633,1530,2059,3046,6634,1396,18053,40,495,2,349,506,1140
272,B336,B,8.807,Abe Stark Skating Rink,Buildings/Institutions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Abe Stark Skating Rink,17,7026605.64501,13627,3600,7145,2882,2733,1186,609,4529,5358,4287,119,1555,4,1798,507,4190
273,B337,B,2.282,Century Playground,Jointly Operated Playground,2.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,227,Century Playground,22,7312399.65737,22517,2728,11855,7934,5178,2738,3240,11159,19846,374,60,1122,1,773,334,1653
274,B339,B,0.918,Newport Playground,Jointly Operated Playground,2.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,990,Newport Playground,31,10983828.3826,26394,8391,14980,3027,5190,2284,1650,9124,1754,20808,197,397,8,2253,977,5896
275,B340,B,0.915,Garden Playground,Jointly Operated Playground,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,520,Garden Playground,37,12956692.5568,26182,7129,16171,2882,5013,2361,1667,9041,9967,6767,286,1196,11,6648,1304,14750
276,B342,B,1.616,100% Playground,Jointly Operated Playground,2.0,0.0,4.0,0.0,0.0,5.0,0.0,1.0,2,100% Playground,22,11859991.3229,17767,4517,10610,2640,2051,1864,1939,5855,1803,13850,103,615,6,813,587,2218
277,B343,B,1.9,Osborn Playground,Neighborhood Park,2.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,1077,Osborn Playground,32,12013945.3502,20767,5634,12356,2773,3234,2285,1854,7373,1100,17127,109,500,4,1270,653,3331
